Customer #	Interarrival Time (Min)	Service Time(Min)
1	4.08	1.03
2	3.47	1.26
3	3.21	4.06
4	3.39	2.00
5	3.50	2.65
6	3.90	2.17
7	4.74	3.50
8	2.80	4.06
9	4.80	3.60
10	1.18	2.52
11	4.62	3.12
12	4.19	3.20
13	3.77	3.19
14	3.61	2.81
15	6.11	2.10
16	4.04	3.69
17	4.62	3.62
18	4.12	2.49
19	4.37	2.46
20	5.73	3.43
21	3.15	3.11
22	1.46	4.49
23	3.73	2.57
24	5.44	5.58
25	5.57	3.63
26	4.41	3.50
27	2.68	3.26
28	3.51	3.20
29	3.50	3.91
30	5.16	3.17
31	5.74	1.78
32	4.04	0.52
33	3.82	2.23
34	3.74	4.34
35	3.41	3.17
36	3.62	4.93
37	4.62	2.30
38	4.53	2.67
39	4.78	2.46
40	3.86	5.12
41	3.75	2.29
42	4.53	3.36
43	1.62	2.35
44	4.54	4.98
45	4.92	4.44
46	4.81	2.24
47	3.38	2.02
48	4.56	3.38
49	2.74	3.27
50	3.62	1.05
51	4.75	3.78
52	4.57	3.60
53	6.50	3.43
54	2.75	2.91
55	2.91	3.90
56	3.93	2.80
57	4.54	2.60
58	4.56	4.95
59	4.87	3.46
60	6.08	3.10
61	4.15	4.23
62	3.57	3.07
63	4.29	1.02
64	4.97	3.45
65	3.04	3.96
66	3.48	3.55
67	4.98	2.69
68	2.55	2.13
69	3.78	2.52
70	3.53	5.44
71	3.45	4.72
72	4.63	4.81
73	4.77	2.68
74	2.94	3.38
75	3.41	2.59
76	3.76	4.73
77	4.48	1.98
78	3.32	3.03
79	4.65	4.16
80	4.18	1.28
81	3.38	3.22
82	2.66	4.69
83	3.49	1.80
84	3.70	1.94
85	3.59	1.89
86	4.18	3.65
87	5.57	2.98
88	3.33	1.87
89	4.52	1.38
90	2.45	2.56
91	3.24	2.61
92	4.26	3.27
93	4.27	2.39
94	3.77	4.24
95	3.49	2.83
96	4.62	4.45
97	5.46	2.93
98	4.23	1.99
99	1.77	3.20
100	2.35	2.36
101	2.45	2.71
102	6.20	3.21
103	2.05	4.68
104	3.77	3.83
105	3.37	2.53
106	3.23	2.23
107	3.16	3.44
108	4.04	5.19
109	3.62	4.24
110	4.48	3.84
111	5.30	5.11
112	4.66	3.78
113	4.79	2.85
114	4.51	1.11
115	4.26	3.36
116	2.19	2.80
117	4.82	2.97
118	2.48	3.08
119	3.16	3.78
120	4.17	3.79
121	3.51	2.38
122	5.14	1.81
123	4.51	2.32
124	4.05	4.93
125	2.97	3.57
126	2.28	2.59
127	2.39	2.78
128	2.47	2.67
129	2.67	3.31
130	3.67	3.54
131	4.34	5.19
132	3.58	1.88
133	5.55	1.96
134	3.34	1.75
135	4.12	4.38
136	2.25	3.54
137	6.32	3.60
138	4.36	2.93
139	5.58	3.35
140	3.29	2.51
141	3.65	2.74
142	3.81	3.79
143	2.82	3.86
144	2.90	2.92
145	3.14	2.83
146	4.32	4.87
147	3.90	0.98
148	3.95	4.04
149	4.09	4.21
150	4.68	2.79
151	4.51	2.29
152	0.92	3.03
153	4.02	1.84
154	6.45	1.89
155	2.75	2.30
156	5.47	0.34
157	3.53	3.45
